id	position	name	GSM2522610	GSM2522611	GSM2522612	GSM2522613	GSM2522618	GSM2522666	GSM2522667	GSM2522668	GSM2522669	GSM2522670
B01R01C01	1-1-1	AlexaAntiMouseAb~N/A	27767	29807	30726	27699	31242	38534	35281	24502	46927	39005
B01R01C02	1-2-1	AlexaAntiMouseAb~N/A	31925	29026	28238	32010	31635	34785	31349	24639	42212	34022
B01R01C03	1-3-1	ERa~N/A	1567	1538	1585	1282	1544	778	1876	714	3938	2378
B01R01C04	1-4-1	ERa~N/A	1457	1686	1565	1279	1555	769	1802	709	3841	1911
B01R01C05	1-5-1	HumanIgG1~N/A	809	658	777	781	789	1197	1076	720	917	794
B01R01C06	1-6-1	HumanIgG1~N/A	809	711	799	750	661	1195	1000	783	926	1019
B01R01C07	1-7-1	HumanIgG2~N/A	2484	2121	1952	3144	2389	5188	3026	2471	2996	2691
B01R01C08	1-8-1	HumanIgG2~N/A	2514	2166	2114	2896	2539	4487	3516	3340	2848	2998
B01R01C09	1-9-1	HumanIgG3~N/A	16660	12383	11971	12719	12329	21700	16994	12790	13132	13894
B01R01C10	1-10-1	HumanIgG3~N/A	12995	12422	12273	13211	14144	20036	17513	12798	12754	14282
B01R01C11	1-11-1	HumanIgG4~N/A	34782	38116	37860	35938	46466	62340	44614	39758	37745	43387
B01R01C12	1-12-1	HumanIgG4~N/A	30713	39278	37645	35034	46592	61273	45739	39129	40421	48747
B01R01C13	1-13-1	BiotinAb~N/A	204	314	291	234	362	428	451	285	332	265
B01R01C14	1-14-1	BiotinAb~N/A	220	286	328	181	339	450	456	302	343	302
B01R01C15	1-15-1	RanBP2deltaFG~N/A	213	1148	870	365	262	424	1416	142	965	208
B01R01C16	1-16-1	RanBP2deltaFG~N/A	213	819	888	306	249	449	1449	140	135	107
B01R01C17	1-17-1	hMDM2~N/A	1051	1074	1654	1955	957	593	5426	371	3892	737
B01R01C18	1-18-1	hMDM2~N/A	1123	837	1605	1941	863	670	5599	349	4209	755
B01R01C19	1-19-1	PKCeta~N/A	407	518	444	389	767	1844	496	313	6	413
B01R01C20	1-20-1	PKCeta~N/A	452	551	453	389	792	157	472	294	670	428
B01R01C21	1-21-1	AlexaAntiMouseAb~N/A	33235	36412	35654	31629	51401	49245	41556	32025	51808	47433
B01R01C22	1-22-1	AlexaAntiMouseAb~N/A	36112	40088	35310	33446	53684	51011	43808	29024	49840	47893
B01R02C01	1-1-2	PKCeta~N/A	1395	1133	1261	791	614	2258	1379	886	1173	1122
B01R02C02	1-2-2	PKCeta~N/A	1420	1220	1299	843	650	2214	1444	879	1230	32
B01R02C03	1-3-2	Buffer	30	465	30	122	729	36	251	157	41	185
B01R02C04	1-4-2	Buffer	781	32	61	48	10	36	342	20	51	28
B01R02C05	1-5-2	HumanIgA~N/A	21323	16890	19681	18015	15719	22811	20705	17458	20899	18420
B01R02C06	1-6-2	HumanIgA~N/A	19582	17638	18594	17671	19602	22990	20680	17717	19498	18480
B01R02C07	1-7-2	Buffer	44	29	179	48	51	871	230	14	37	43
B01R02C08	1-8-2	Buffer	41	33	-1	39	79	89	235	11	43	44
B01R02C09	1-9-2	BSA~N/A	607	55	2996	81	821	64	261	199	128	10922
B01R02C10	1-10-2	BSA~N/A	556	168	2754	76	976	22	266	169	447	11344
B01R02C11	1-11-2	Hs~MGC:NM_175877.3~uORF:IOH22866	1	-1	5	517	780	575	949	488	1898	320
B01R02C12	1-12-2	Hs~MGC:NM_175877.3~uORF:IOH22866	-2	-2	32	542	1057	587	970	529	1635	344
B01R02C13	1-13-2	Hs~MGC:NM_152728.1~uORF:IOH21580	1565	2631	1306	1372	17998	1397	2165	1743	3252	462
B01R02C14	1-14-2	Hs~MGC:NM_152728.1~uORF:IOH21580	1564	2311	1285	1286	16560	1415	2178	1749	3323	426
B01R02C15	1-15-2	Hs~MGC:BC021174.1~uORF:IOH10706	-1	-1	3	0	2177	659	16	1	1	-3
B01R02C16	1-16-2	Hs~MGC:BC021174.1~uORF:IOH10706	-2	767	0	-1	1968	2	5	2	68	-1
B01R02C17	1-17-2	Hs~MGC:BC017901.1~uORF:IOH12549	1036	911	1338	2166	1455	1275	1871	1041	3916	520
B01R02C18	1-18-2	Hs~MGC:BC017901.1~uORF:IOH12549	896	717	1250	1876	1263	1342	1923	1144	3799	489
B01R02C19	1-19-2	Hs~MGC:BC032499.1~uORF:IOH21893	-3	0	-3	670	1052	105	1656	792	2537	653
B01R02C20	1-20-2	Hs~MGC:BC032499.1~uORF:IOH21893	22	-2	0	677	1380	593	1692	680	1912	684
B01R02C21	1-21-2	Hs~Ref:NM_006399.2~uORF:IOH21626	1087	1162	2506	1529	1972	2676	1083	1195	4641	491
B01R02C22	1-22-2	Hs~Ref:NM_006399.2~uORF:IOH21626	972	1055	2354	1434	2129	2593	1064	1178	3269	414
B01R03C01	1-1-3	Hs~MGC:BC032302.1~uORF:IOH21655	688	702	1057	528	499	734	1169	527	1436	352
B01R03C02	1-2-3	Hs~MGC:BC032302.1~uORF:IOH21655	697	675	1124	561	514	777	1172	539	1490	283
B01R03C03	1-3-3	Hs~Ref:NM_007254.2~uORF:IOH21884	5492	4237	3594	3481	5027	5436	10347	2760	5158	3803
B01R03C04	1-4-3	Hs~Ref:NM_007254.2~uORF:IOH21884	5173	3872	3481	3605	4520	5393	9804	2804	5569	4297
B01R03C05	1-5-3	Hs~Ref:NM_000993.2~uORF:IOH14051	-1	41	3	1091	832	1622	9340	1132	2991	1684
B01R03C06	1-6-3	Hs~Ref:NM_000993.2~uORF:IOH14051	4	-3	7	1087	689	1834	9457	1189	2978	1836
B01R03C07	1-7-3	Hs~Ref:NM_002413.3~uORF:IOH13576	566	561	709	364	564	581	762	451	1141	365
B01R03C08	1-8-3	Hs~Ref:NM_002413.3~uORF:IOH13576	584	557	727	368	522	618	815	489	1147	402
B01R03C09	1-9-3	Hs~Ref:NM_004450.1~uORF:IOH14288	4012	2105	3069	2159	3086	3572	8717	2722	5814	796
B01R03C10	1-10-3	Hs~Ref:NM_004450.1~uORF:IOH14288	3740	1797	2929	1956	4291	3596	8576	2657	5357	1518
B01R03C11	1-11-3	Hs~MGC:BC012766.1~uORF:IOH13844	1274	796	1410	287	803	452	663	410	852	132
B01R03C12	1-12-3	Hs~MGC:BC012766.1~uORF:IOH13844	962	811	1173	283	879	540	671	371	741	135
B01R03C13	1-13-3	Hs~MGC:BC015883.1~uORF:IOH10061	473	374	610	311	426	692	849	353	722	265
B01R03C14	1-14-3	Hs~MGC:BC015883.1~uORF:IOH10061	455	419	559	342	329	617	827	364	787	254
B01R03C15	1-15-3	Hs~MGC:BC016295.1~uORF:IOH10091	1029	1219	1068	915	6158	1666	3742	915	2167	620
B01R03C16	1-16-3	Hs~MGC:BC016295.1~uORF:IOH10091	963	1135	982	615	5542	1726	3649	914	2273	576
B01R03C17	1-17-3	Hs~MGC:BC015803.1~uORF:IOH10126	2688	1345	1627	1261	1381	1415	2042	1331	2242	2183
B01R03C18	1-18-3	Hs~MGC:BC015803.1~uORF:IOH10126	2514	1247	1627	1196	1320	1380	2001	1375	2170	2157
B01R03C19	1-19-3	Hs~Ref:NM_004865.2~uORF:IOH10084	2114	1143	1503	886	591	1301	7228	774	2644	509
B01R03C20	1-20-3	Hs~Ref:NM_004865.2~uORF:IOH10084	1996	1107	1419	874	628	1332	6807	803	2404	531
B01R03C21	1-21-3	Hs~MGC:BC018732.1~uORF:IOH14058	-3	-5	-2	-1	1926	1386	2062	1307	3566	1152
B01R03C22	1-22-3	Hs~MGC:BC018732.1~uORF:IOH14058	-3	-4	-5	-3	2090	1354	2122	1224	2806	1050
B01R04C01	1-1-4	Hs~MGC:BC024281.1~uORF:IOH14073	1602	1036	1499	691	1547	1482	1025	761	2621	508
B01R04C02	1-2-4	Hs~MGC:BC024281.1~uORF:IOH14073	1592	968	1425	709	1526	1532	1014	759	2433	630
B01R04C03	1-3-4	Hs~MGC:BC007658.1~uORF:IOH5956	750	1060	1042	653	545	845	5842	901	1655	2232
B01R04C04	1-4-4	Hs~MGC:BC007658.1~uORF:IOH5956	696	960	1057	590	527	879	5792	945	1603	738
B01R04C05	1-5-4	Hs~Ref:NM_145252.1~uORF:IOH9864	5291	22786	3690	6505	3424	2793	3247	1275	5560	560
B01R04C06	1-6-4	Hs~Ref:NM_145252.1~uORF:IOH9864	4819	20510	3746	6041	3278	3067	3362	1264	5339	1016
B01R04C07	1-7-4	Hs~MGC:BC011923.1~uORF:IOH13453	1468	778	1433	666	868	848	3127	1401	1954	549
B01R04C08	1-8-4	Hs~MGC:BC011923.1~uORF:IOH13453	1407	777	1364	659	890	887	3012	746	1929	533
B01R04C09	1-9-4	Hs~Ref:NM_020530.2~uORF:IOH13456	2567	1722	2112	1287	1858	1614	7093	1379	6870	951
B01R04C10	1-10-4	Hs~Ref:NM_020530.2~uORF:IOH13456	2497	1618	2078	1357	2084	1550	6771	1252	6296	749
B01R04C11	1-11-4	Hs~Ref:NM_022720.2~uORF:IOH12840	1455	775	921	588	1718	742	1448	1012	2207	353
B01R04C12	1-12-4	Hs~Ref:NM_022720.2~uORF:IOH12840	1284	719	982	600	1855	800	1447	1039	2115	308
B01R04C13	1-13-4	Hs~Ref:NM_145042.1~uORF:IOH13383	1707	1450	1727	1042	1702	1430	2646	1084	2904	691
B01R04C14	1-14-4	Hs~Ref:NM_145042.1~uORF:IOH13383	1621	1370	1638	1071	1673	1434	2312	1107	3122	767
B01R04C15	1-15-4	Hs~Ref:NM_007173.3~uORF:IOH3271	381	311	475	382	332	445	639	364	754	145
B01R04C16	1-16-4	Hs~Ref:NM_007173.3~uORF:IOH3271	350	325	466	407	313	411	732	337	764	197
B01R04C17	1-17-4	Hs~Ref:NM_016034.2~uORF:IOH6982	975	830	796	449	530	824	1127	719	1671	461
B01R04C18	1-18-4	Hs~Ref:NM_016034.2~uORF:IOH6982	899	937	840	543	521	665	1111	679	2292	483
B01R04C19	1-19-4	Hs~Ref:NM_025083.2~uORF:IOH9818	1713	1273	1203	1519	1057	1414	8835	2192	4348	485
B01R04C20	1-20-4	Hs~Ref:NM_025083.2~uORF:IOH9818	1520	1227	1119	1403	1108	1373	8788	2162	4109	468
B01R04C21	1-21-4	Hs~MGC:BC011553.1~uORF:IOH12716	542	613	637	461	396	551	932	494	539	426
B01R04C22	1-22-4	Hs~MGC:BC011553.1~uORF:IOH12716	527	591	612	457	398	559	936	499	1362	493
B01R05C01	1-1-5	Hs~Ref:NM_032306.2~uORF:IOH5568	3446	1626	2353	2289	1808	2627	2110	1876	2797	1207
B01R05C02	1-2-5	Hs~Ref:NM_032306.2~uORF:IOH5568	3112	1502	2125	2301	1690	2664	2208	1898	2490	1132
B01R05C03	1-3-5	Hs~MGC:BC039269.1~uORF:IOH27269	471	357	764	331	301	598	1069	375	742	176
B01R05C04	1-4-5	Hs~MGC:BC039269.1~uORF:IOH27269	452	335	806	320	387	603	1016	327	708	177
B01R05C05	1-5-5	Hs~Ref:NM_006528.2~uORF:IOH7275	1339	862	1022	629	754	846	3351	711	1477	282
B01R05C06	1-6-5	Hs~Ref:NM_006528.2~uORF:IOH7275	1235	731	1018	599	683	991	3372	759	1249	295
B01R05C07	1-7-5	Hs~Ref:NM_017634.1~uORF:IOH22919	1564	582	512	278	526	602	684	1771	737	111
B01R05C08	1-8-5	Hs~Ref:NM_017634.1~uORF:IOH22919	1389	507	450	275	654	578	628	1669	699	94
B01R05C09	1-9-5	Hs~Ref:NM_002358.2~uORF:IOH7559	1050	660	1089	455	1223	511	522	652	1985	25
B01R05C10	1-10-5	Hs~Ref:NM_002358.2~uORF:IOH7559	999	622	1017	482	1239	442	603	694	2174	218
B01R05C11	1-11-5	Hs~Ref:NM_080916.1~uORF:IOH14211	1254	4076	1398	730	1495	1030	1620	870	2461	646
B01R05C12	1-12-5	Hs~Ref:NM_080916.1~uORF:IOH14211	1446	3649	1315	750	1490	1070	1547	876	2695	623
B01R05C13	1-13-5	Hs~MGC:BC013019.1~uORF:IOH14884	505	2293	368	220	1143	232	691	1145	748	279
B01R05C14	1-14-5	Hs~MGC:BC013019.1~uORF:IOH14884	337	1996	185	216	608	285	660	1096	709	90
B01R05C15	1-15-5	Hs~Ref:NM_002082.1~N/A	475	134	578	337	277	456	856	489	500	120
B01R05C16	1-16-5	Hs~Ref:NM_002082.1~N/A	426	324	514	333	266	522	975	480	568	184
B01R05C17	1-17-5	Hs~Ref:NM_003516.2~uORF:IOH4867	2713	1485	1893	1155	2547	1674	7685	1325	4385	718
B01R05C18	1-18-5	Hs~Ref:NM_003516.2~uORF:IOH4867	2504	1451	1798	1146	2120	1606	7343	1286	3941	762
B01R05C19	1-19-5	Hs~MGC:BC043581.1~uORF:IOH26300	2138	1272	1895	1107	1636	1861	1958	1600	4986	756
B01R05C20	1-20-5	Hs~MGC:BC043581.1~uORF:IOH26300	1998	1181	1850	1061	1630	1648	2044	1578	5253	896
B01R05C21	1-21-5	Hs~Ref:NM_004148.2~uORF:IOH28049	1100	974	1451	848	1149	1477	1977	918	3006	660
B01R05C22	1-22-5	Hs~Ref:NM_004148.2~uORF:IOH28049	1045	961	1455	832	1143	1519	1988	1006	2675	632
B01R06C01	1-1-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1388	1190	1503	1389	1312	1223	1775	1091	2760	1001
B01R06C02	1-2-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1370	1091	1489	1425	1288	1144	1835	1048	2676	1129
B01R06C03	1-3-6	Hs~Ref:NM_018097.1~uORF:IOH12063	563	434	627	396	309	508	927	458	720	148
B01R06C04	1-4-6	Hs~Ref:NM_018097.1~uORF:IOH12063	632	425	625	401	424	506	981	482	736	152
B01R06C05	1-5-6	Hs~Ref:NM_002370.2~uORF:IOH10502	938	623	1033	531	518	644	1030	494	1570	1231
B01R06C06	1-6-6	Hs~Ref:NM_002370.2~uORF:IOH10502	852	556	1079	559	525	870	1104	503	1580	1277
B01R06C07	1-7-6	Hs~Ref:NM_017812.1~uORF:IOH11162	619	432	640	338	494	611	707	425	921	304
B01R06C08	1-8-6	Hs~Ref:NM_017812.1~uORF:IOH11162	626	491	654	399	506	565	696	425	987	-7
B01R06C09	1-9-6	Hs~Ref:NM_002880.1~uORF:IOH10773	872	750	946	676	655	738	1019	651	1395	796
B01R06C10	1-10-6	Hs~Ref:NM_002880.1~uORF:IOH10773	895	836	875	703	642	828	962	650	1455	800
B01R06C11	1-11-6	Hs~Ref:NM_001280.1~uORF:IOH2905	3046	1901	2376	1249	1443	1394	7751	1124	3478	1200
B01R06C12	1-12-6	Hs~Ref:NM_001280.1~uORF:IOH2905	3200	1781	2307	1256	1456	1439	7634	1139	3464	850
B01R06C13	1-13-6	Hs~MGC:BC001304.1~uORF:IOH3065	528	1181	569	397	755	661	701	498	812	219
B01R06C14	1-14-6	Hs~MGC:BC001304.1~uORF:IOH3065	465	1100	563	358	608	659	687	479	716	16
B01R06C15	1-15-6	Hs~MGC:BC009048.1~uORF:IOH3342	888	1388	1152	656	1427	775	1395	745	1387	444
B01R06C16	1-16-6	Hs~MGC:BC009048.1~uORF:IOH3342	949	1210	1056	738	1264	889	1131	762	1709	456
B01R06C17	1-17-6	Hs~Ref:NM_014713.2~uORF:IOH3687	678	559	870	412	511	624	861	555	1320	187
B01R06C18	1-18-6	Hs~Ref:NM_014713.2~uORF:IOH3687	668	556	870	473	390	624	978	569	1050	464
B01R06C19	1-19-6	Hs~Ref:NM_005402.1~uORF:IOH26207	586	420	686	446	394	3347	849	531	740	218
B01R06C20	1-20-6	Hs~Ref:NM_005402.1~uORF:IOH26207	614	420	703	428	394	4077	857	535	1140	236
B01R06C21	1-21-6	Hs~MGC:BC044587.1~uORF:IOH26741	1545	612	612	554	785	850	920	526	1128	194
B01R06C22	1-22-6	Hs~MGC:BC044587.1~uORF:IOH26741	1337	596	604	548	725	867	972	538	1108	203
B01R07C01	1-1-7	Hs~MGC:BC048099.1~uORF:IOH26742	1884	1967	1845	1319	1170	1171	2285	1432	2779	649
B01R07C02	1-2-7	Hs~MGC:BC048099.1~uORF:IOH26742	1744	1910	1679	1338	1104	1126	2338	1346	2908	722
B01R07C03	1-3-7	Hs~MGC:BC040036.1~uORF:IOH26343	623	597	611	327	432	737	1044	543	1498	111
B01R07C04	1-4-7	Hs~MGC:BC040036.1~uORF:IOH26343	586	535	580	295	498	695	1085	550	1437	343
B01R07C05	1-5-7	Hs~MGC:BC005955.1~uORF:IOH7485	2740	1096	1340	914	704	1527	8101	1193	2962	557
B01R07C06	1-6-7	Hs~MGC:BC005955.1~uORF:IOH7485	2277	1043	1329	961	728	1631	8379	1152	2995	690
B01R07C07	1-7-7	Hs~MGC:BC035217.1~uORF:IOH26791	699	486	1045	534	733	846	1997	372	1089	322
B01R07C08	1-8-7	Hs~MGC:BC035217.1~uORF:IOH26791	651	457	965	528	759	738	1854	408	1043	305
B01R07C09	1-9-7	Hs~MGC:BC028366.1~uORF:IOH22335	2157	954	1222	809	2798	1384	1460	3434	1865	456
B01R07C10	1-10-7	Hs~MGC:BC028366.1~uORF:IOH22335	2039	874	1216	752	2697	1384	1333	3323	1819	523
B01R07C11	1-11-7	Hs~MGC:BC035492.1~uORF:IOH25729	1275	548	972	479	668	1065	1300	491	1129	962
B01R07C12	1-12-7	Hs~MGC:BC035492.1~uORF:IOH25729	1464	523	992	512	717	1103	1328	470	1247	174
B01R07C13	1-13-7	Hs~Ref:XM_374188.3~uORF:IOH44541	1364	1065	1196	755	1815	925	1572	755	2129	667
B01R07C14	1-14-7	Hs~Ref:XM_374188.3~uORF:IOH44541	1129	778	1269	806	1406	884	1554	826	1895	32
B01R07C15	1-15-7	Hs~Ref:NM_174925.1~uORF:IOH43618	4199	944	1375	677	1074	832	1508	756	1957	587
B01R07C16	1-16-7	Hs~Ref:NM_174925.1~uORF:IOH43618	4317	978	1334	836	988	810	1314	792	2038	669
B01R07C17	1-17-7	Hs~Ref:NM_138640.1~uORF:IOH40942	1320	1294	3142	1801	659	1153	1311	640	2076	727
B01R07C18	1-18-7	Hs~Ref:NM_138640.1~uORF:IOH40942	1230	1138	2950	1648	559	1023	1347	638	1934	758
B01R07C19	1-19-7	Hs~Ref:NM_172014.1~uORF:IOH44426	1595	1480	1816	1058	1546	1135	2432	1153	3392	773
B01R07C20	1-20-7	Hs~Ref:NM_172014.1~uORF:IOH44426	1646	1397	1778	1033	1660	472	2289	1144	3495	709
B01R07C21	1-21-7	Hs~MGC:BC000691.1~uORF:IOH4341	2328	1279	1619	1595	2241	2779	3772	2469	4288	790
B01R07C22	1-22-7	Hs~MGC:BC000691.1~uORF:IOH4341	2233	1255	1530	1549	2338	2724	3615	2359	3950	840
B01R08C01	1-1-8	Hs~Ref:NM_012117.1~uORF:IOH3162	4097	1666	2341	2785	5919	8786	5133	1285	5100	1083
B01R08C02	1-2-8	Hs~Ref:NM_012117.1~uORF:IOH3162	3668	1566	2183	2757	4948	8708	5323	1184	4811	1007
B01R08C03	1-3-8	Hs~Ref:NM_025133.3~uORF:IOH44015	4996	1072	1627	977	1170	1241	3269	840	2340	0
B01R08C04	1-4-8	Hs~Ref:NM_025133.3~uORF:IOH44015	4538	1102	1701	950	1603	1194	3438	827	2494	286
B01R08C05	1-5-8	Hs~Ref:NM_002346.1~uORF:IOH42082	1056	766	1083	535	1009	812	1320	660	1663	1322
B01R08C06	1-6-8	Hs~Ref:NM_002346.1~uORF:IOH42082	963	762	1196	577	990	902	1322	714	1602	310
B01R08C07	1-7-8	Hs~MGC:BC019247.1~uORF:IOH11023	870	543	993	1287	1011	635	1131	599	3168	354
B01R08C08	1-8-8	Hs~MGC:BC019247.1~uORF:IOH11023	830	606	926	1276	999	619	1109	505	3378	390
B01R08C09	1-9-8	Hs~Ref:NM_014214.1~uORF:IOH13690	919	1220	1671	2616	1619	1138	1134	1461	2970	440
B01R08C10	1-10-8	Hs~Ref:NM_014214.1~uORF:IOH13690	893	1111	1521	2378	1662	1176	1132	1447	2742	434
B01R08C11	1-11-8	Hs~Ref:NM_015343.1~uORF:IOH12711	927	722	786	541	765	546	1009	1227	1047	229
B01R08C12	1-12-8	Hs~Ref:NM_015343.1~uORF:IOH12711	999	735	854	550	728	496	1064	1303	1210	274
B01R08C13	1-13-8	Hs~Ref:NM_032929.1~uORF:IOH7540	1507	1855	942	2235	1264	807	1730	1575	3593	9699
B01R08C14	1-14-8	Hs~Ref:NM_032929.1~uORF:IOH7540	1180	1538	907	2121	1833	790	1763	1538	3229	8145
B01R08C15	1-15-8	Hs~MGC:BC037311.1~uORF:IOH27689	1601	1149	1579	870	1211	1079	3302	756	2287	639
B01R08C16	1-16-8	Hs~MGC:BC037311.1~uORF:IOH27689	1531	1164	1501	928	972	1107	2960	834	2377	642
B01R08C17	1-17-8	Hs~MGC:BC042848.1~uORF:IOH27665	692	447	752	440	239	552	1074	405	978	220
B01R08C18	1-18-8	Hs~MGC:BC042848.1~uORF:IOH27665	714	485	811	409	494	817	1038	400	1026	163
B01R08C19	1-19-8	Hs~Ref:NM_002884.1~uORF:IOH14475	544	447	597	3582	575	536	728	418	1363	182
B01R08C20	1-20-8	Hs~Ref:NM_002884.1~uORF:IOH14475	527	436	598	3745	577	474	737	400	269	154
B01R08C21	1-21-8	Hs~MGC:BC024004.1~uORF:IOH11309	1907	1210	4112	978	1585	2782	5287	1453	2062	494
B01R08C22	1-22-8	Hs~MGC:BC024004.1~uORF:IOH11309	1760	1225	3915	919	1576	2773	4910	1486	1962	510
B01R09C01	1-1-9	Hs~Ref:NM_014420.2~uORF:IOH35309	1371	984	1196	885	901	919	1352	1321	2660	560
B01R09C02	1-2-9	Hs~Ref:NM_014420.2~uORF:IOH35309	1327	948	1209	881	828	951	1349	1403	2532	600
B01R09C03	1-3-9	Hs~Ref:NM_025057.1~uORF:IOH35314	921	385	666	568	780	501	1011	788	1260	433
B01R09C04	1-4-9	Hs~Ref:NM_025057.1~uORF:IOH35314	895	365	615	535	750	532	951	794	1152	397
B01R09C05	1-5-9	Hs~Ref:NM_002169.1~uORF:IOH35227	1008	623	1092	1590	1415	1272	1135	734	1383	597
B01R09C06	1-6-9	Hs~Ref:NM_002169.1~uORF:IOH35227	967	683	1010	1645	1466	775	1209	783	1489	509
B01R09C07	1-7-9	Hs~Ref:NM_022573.1~uORF:IOH35467	469	419	502	761	501	321	31732	631	1341	206
B01R09C08	1-8-9	Hs~Ref:NM_022573.1~uORF:IOH35467	439	339	461	749	464	651	29541	764	1371	263
B01R09C09	1-9-9	Hs~Ref:NM_006749.2~uORF:IOH11684	304	218	389	206	210	492	399	237	534	68
B01R09C10	1-10-9	Hs~Ref:NM_006749.2~uORF:IOH11684	327	242	363	236	122	102	399	207	496	63
B01R09C11	1-11-9	Hs~MGC:BC027911.1~uORF:IOH11846	452	377	505	307	458	393	736	339	808	279
B01R09C12	1-12-9	Hs~MGC:BC027911.1~uORF:IOH11846	515	361	499	313	475	373	710	339	767	351
B01R09C13	1-13-9	Hs~MGC:BC021861.1~uORF:IOH11917	572	276	399	238	461	394	1230	249	651	103
B01R09C14	1-14-9	Hs~MGC:BC021861.1~uORF:IOH11917	371	133	373	233	525	365	1159	231	616	123
B01R09C15	1-15-9	Hs~Ref:NM_022091.2~uORF:IOH27060	1607	1312	1204	932	1149	1124	1228	933	1976	16
B01R09C16	1-16-9	Hs~Ref:NM_022091.2~uORF:IOH27060	1498	1321	1235	1539	1034	1058	1252	1058	1780	730
B01R09C17	1-17-9	Hs~MGC:BC036422.1~uORF:IOH27623	-2	0	-2	-2	472	744	928	579	8986	273
B01R09C18	1-18-9	Hs~MGC:BC036422.1~uORF:IOH27623	0	-1	1	0	770	764	895	569	9505	377
B01R09C19	1-19-9	Hs~MGC:BC055314.1~uORF:IOH29446	4776	2255	2386	2054	2363	3855	5654	2699	4370	1676
B01R09C20	1-20-9	Hs~MGC:BC055314.1~uORF:IOH29446	4956	1944	2346	2175	2475	3411	5305	2411	3439	1542
B01R09C21	1-21-9	Hs~MGC:BC051300.1~uORF:IOH29358	1138	468	997	406	516	527	1263	464	1307	184
B01R09C22	1-22-9	Hs~MGC:BC051300.1~uORF:IOH29358	1111	453	981	395	441	497	1132	441	1570	272
B01R10C01	1-1-10	Hs~MGC:BC014889.1~uORF:IOH10017	1006	577	856	574	360	660	1559	751	1288	323
B01R10C02	1-2-10	Hs~MGC:BC014889.1~uORF:IOH10017	1010	597	849	548	397	661	1478	751	1132	320
B01R10C03	1-3-10	Hs~MGC:BC007009.1~uORF:IOH7191	1170	926	1416	760	955	793	1134	1146	2212	536
B01R10C04	1-4-10	Hs~MGC:BC007009.1~uORF:IOH7191	1094	858	1410	783	929	858	1133	1144	2223	438
B01R10C05	1-5-10	Hs~Ref:NM_002539.1~uORF:IOH14694	841	600	789	453	857	1756	1791	567	1709	379
B01R10C06	1-6-10	Hs~Ref:NM_002539.1~uORF:IOH14694	803	574	778	484	845	1800	1964	558	1709	355
B01R10C07	1-7-10	Hs~MGC:BC012575.1~uORF:IOH12167	1649	3689	1373	1273	1426	2970	4309	2746	4561	315
B01R10C08	1-8-10	Hs~MGC:BC012575.1~uORF:IOH12167	1527	3257	1203	1205	1216	2782	3698	2734	3955	277
B01R10C09	1-9-10	Hs~MGC:NM_171998.1~uORF:IOH9931	659	733	815	528	809	451	782	573	3735	330
B01R10C10	1-10-10	Hs~MGC:NM_171998.1~uORF:IOH9931	676	697	819	546	845	508	789	585	3600	322
B01R10C11	1-11-10	GST1	3	-3	13	2	-1	-20	55	8	4	2
B01R10C12	1-12-10	GST1	6	4	12	5	457	-12	102	3	1	61
B01R10C13	1-13-10	GST2	3202	6	119	7	773	0	83	5	4	6
B01R10C14	1-14-10	GST2	2800	6	17	5	386	26	128	134	3	4
B01R10C15	1-15-10	GST3	156	13	130	3	170	16	140	175	10	2
B01R10C16	1-16-10	GST3	7	18	28	1852	30	97	153	7	8	8
B01R10C17	1-17-10	GST4	454	74	185	10	133	55	234	90	51	14
B01R10C18	1-18-10	GST4	368	120	204	15	65	51	206	215	52	15
B01R10C19	1-19-10	Anti-HumanIgA1~N/A	8482	9314	8972	8289	10516	11632	8239	6821	8981	9451
B01R10C20	1-20-10	Anti-HumanIgA1~N/A	8499	9114	9422	7564	10803	11104	7958	7289	10863	9327
B01R10C21	1-21-10	Anti-HumanIgA2~N/A	16940	17405	17527	15373	19261	19402	15257	14495	19177	17997
B01R10C22	1-22-10	Anti-HumanIgA2~N/A	17833	16464	17101	15441	18564	18983	14349	14785	19077	18490
B01R11C01	1-1-11	AlexaAntiMouseAb~N/A	21421	19134	17280	18795	23814	25733	22978	16563	30741	26150
B01R11C02	1-2-11	AlexaAntiMouseAb~N/A	20414	18981	21412	18718	22751	25095	20107	17264	29702	27135
B01R11C03	1-3-11	MAPKAP~N/A	107	91	234	216	217	69	276	153	166	40
B01R11C04	1-4-11	MAPKAP~N/A	118	11	230	158	185	82	242	135	188	10
B01R11C05	1-5-11	Buffer	-4	13	-17	0	7	528	93	-8	9	3
B01R11C06	1-6-11	Buffer	-4	15	9	2	20	15	20836	339	19	-11
B01R11C07	1-7-11	BSA~N/A	422	1243	74	20	675	69	19323	50	56	8992
B01R11C08	1-8-11	BSA~N/A	458	66	810	33	680	39	43	52	54	8687
B01R11C09	1-9-11	Anti-HumanIgG1~N/A	1742	1304	1377	1600	1708	1946	1502	1185	1551	1562
B01R11C10	1-10-11	Anti-HumanIgG1~N/A	1705	1321	1612	1485	1712	1929	1375	1247	1620	1672
B01R11C11	1-11-11	Anti-HumanIgG2~N/A	3482	2795	3102	3040	3768	3761	2979	2475	2923	2918
B01R11C12	1-12-11	Anti-HumanIgG2~N/A	3422	2760	3231	3084	3647	3611	2735	2633	2956	2981
