id	position	name	GSM2522670
B01R05C02	1-2-5	Hs~Ref:NM_032306.2~uORF:IOH5568	1132
B01R05C03	1-3-5	Hs~MGC:BC039269.1~uORF:IOH27269	176
B01R05C04	1-4-5	Hs~MGC:BC039269.1~uORF:IOH27269	177
B01R05C05	1-5-5	Hs~Ref:NM_006528.2~uORF:IOH7275	282
B01R05C06	1-6-5	Hs~Ref:NM_006528.2~uORF:IOH7275	295
B01R05C07	1-7-5	Hs~Ref:NM_017634.1~uORF:IOH22919	111
B01R05C08	1-8-5	Hs~Ref:NM_017634.1~uORF:IOH22919	94
B01R05C09	1-9-5	Hs~Ref:NM_002358.2~uORF:IOH7559	25
B01R05C10	1-10-5	Hs~Ref:NM_002358.2~uORF:IOH7559	218
B01R05C11	1-11-5	Hs~Ref:NM_080916.1~uORF:IOH14211	646
B01R05C12	1-12-5	Hs~Ref:NM_080916.1~uORF:IOH14211	623
B01R05C13	1-13-5	Hs~MGC:BC013019.1~uORF:IOH14884	279
B01R05C14	1-14-5	Hs~MGC:BC013019.1~uORF:IOH14884	90
B01R05C15	1-15-5	Hs~Ref:NM_002082.1~N/A	120
B01R05C16	1-16-5	Hs~Ref:NM_002082.1~N/A	184
B01R05C17	1-17-5	Hs~Ref:NM_003516.2~uORF:IOH4867	718
B01R05C18	1-18-5	Hs~Ref:NM_003516.2~uORF:IOH4867	762
B01R05C19	1-19-5	Hs~MGC:BC043581.1~uORF:IOH26300	756
B01R05C20	1-20-5	Hs~MGC:BC043581.1~uORF:IOH26300	896
B01R05C21	1-21-5	Hs~Ref:NM_004148.2~uORF:IOH28049	660
B01R05C22	1-22-5	Hs~Ref:NM_004148.2~uORF:IOH28049	632
B01R06C01	1-1-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1001
B01R06C02	1-2-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1129
B01R06C03	1-3-6	Hs~Ref:NM_018097.1~uORF:IOH12063	148
B01R06C04	1-4-6	Hs~Ref:NM_018097.1~uORF:IOH12063	152
B01R06C05	1-5-6	Hs~Ref:NM_002370.2~uORF:IOH10502	1231
B01R06C06	1-6-6	Hs~Ref:NM_002370.2~uORF:IOH10502	1277
B01R06C07	1-7-6	Hs~Ref:NM_017812.1~uORF:IOH11162	304
B01R06C08	1-8-6	Hs~Ref:NM_017812.1~uORF:IOH11162	-7
