id	position	name	F635 Median	B635 Median	Intensity
B01R05C15	1-15-5	Hs~Ref:NM_002082.1~N/A	199	79	120
B01R05C16	1-16-5	Hs~Ref:NM_002082.1~N/A	247	63	184
B01R05C17	1-17-5	Hs~Ref:NM_003516.2~uORF:IOH4867	768	50	718
B01R05C18	1-18-5	Hs~Ref:NM_003516.2~uORF:IOH4867	811	49	762
B01R05C19	1-19-5	Hs~MGC:BC043581.1~uORF:IOH26300	804	48	756
B01R05C20	1-20-5	Hs~MGC:BC043581.1~uORF:IOH26300	947	51	896
B01R05C21	1-21-5	Hs~Ref:NM_004148.2~uORF:IOH28049	711	51	660
B01R05C22	1-22-5	Hs~Ref:NM_004148.2~uORF:IOH28049	682	50	632
B01R06C01	1-1-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1035	34	1001
B01R06C02	1-2-6	Hs~Ref:NM_004718.2~uORF:IOH7545	1166	37	1129
B01R06C03	1-3-6	Hs~Ref:NM_018097.1~uORF:IOH12063	186	38	148
B01R06C04	1-4-6	Hs~Ref:NM_018097.1~uORF:IOH12063	191	39	152
B01R06C05	1-5-6	Hs~Ref:NM_002370.2~uORF:IOH10502	1269	38	1231
B01R06C06	1-6-6	Hs~Ref:NM_002370.2~uORF:IOH10502	1313	36	1277
B01R06C07	1-7-6	Hs~Ref:NM_017812.1~uORF:IOH11162	342	38	304
B01R06C08	1-8-6	Hs~Ref:NM_017812.1~uORF:IOH11162	35	42	-7
B01R06C09	1-9-6	Hs~Ref:NM_002880.1~uORF:IOH10773	831	35	796
B01R06C10	1-10-6	Hs~Ref:NM_002880.1~uORF:IOH10773	835	35	800
B01R06C11	1-11-6	Hs~Ref:NM_001280.1~uORF:IOH2905	1245	45	1200
B01R06C12	1-12-6	Hs~Ref:NM_001280.1~uORF:IOH2905	901	51	850
B01R06C13	1-13-6	Hs~MGC:BC001304.1~uORF:IOH3065	322	103	219
B01R06C14	1-14-6	Hs~MGC:BC001304.1~uORF:IOH3065	102	86	16
B01R06C15	1-15-6	Hs~MGC:BC009048.1~uORF:IOH3342	500	56	444
B01R06C16	1-16-6	Hs~MGC:BC009048.1~uORF:IOH3342	569	113	456
B01R06C17	1-17-6	Hs~Ref:NM_014713.2~uORF:IOH3687	243	56	187
B01R06C18	1-18-6	Hs~Ref:NM_014713.2~uORF:IOH3687	519	55	464
B01R06C19	1-19-6	Hs~Ref:NM_005402.1~uORF:IOH26207	272	54	218
B01R06C20	1-20-6	Hs~Ref:NM_005402.1~uORF:IOH26207	295	59	236
