id	position	name	F635 Median	B635 Median	Intensity
B11R12C01	11-1-12	Hs~Ref:NM_014050.1~uORF:IOH25727	357	40	317
B11R12C02	11-2-12	Hs~Ref:NM_014050.1~uORF:IOH25727	348	41	307
B11R12C03	11-3-12	Hs~Ref:NM_024092.1~uORF:IOH3088	282	44	238
B11R12C04	11-4-12	Hs~Ref:NM_024092.1~uORF:IOH3088	540	44	496
B11R12C05	11-5-12	Hs~MGC:BC020651.1~uORF:IOH12789	608	45	563
B11R12C06	11-6-12	Hs~MGC:BC020651.1~uORF:IOH12789	604	46	558
B11R12C07	11-7-12	Hs~MGC:BC017887.1~uORF:IOH27931	400	43	357
B11R12C08	11-8-12	Hs~MGC:BC017887.1~uORF:IOH27931	512	43	469
B11R12C09	11-9-12	Hs~MGC:BC060512.1~uORF:IOH29424	522	44	478
B11R12C10	11-10-12	Hs~MGC:BC060512.1~uORF:IOH29424	533	43	490
B11R12C11	11-11-12	Hs~MGC:BC021973.2~uORF:IOH27816	532	45	487
B11R12C12	11-12-12	Hs~MGC:BC021973.2~uORF:IOH27816	467	44	423
B11R12C13	11-13-12	Hs~MGC:BC060830.1~uORF:IOH29146	837	43	794
B11R12C14	11-14-12	Hs~MGC:BC060830.1~uORF:IOH29146	678	42	636
B11R12C15	11-15-12	Hs~Ref:NM_024292.2~uORF:IOH7374	587	43	544
B11R12C16	11-16-12	Hs~Ref:NM_024292.2~uORF:IOH7374	595	45	550
B11R12C17	11-17-12	Hs~MGC:BC009699.2~uORF:IOH9878	154	55	99
B11R12C18	11-18-12	Hs~MGC:BC009699.2~uORF:IOH9878	168	43	125
B11R12C19	11-19-12	Hs~MGC:BC005382.1~uORF:IOH7371	141	42	99
B11R12C20	11-20-12	Hs~MGC:BC005382.1~uORF:IOH7371	148	43	105
B11R12C21	11-21-12	Hs~Ref:NM_001258.1~uORF:IOH29645	218	44	174
B11R12C22	11-22-12	Hs~Ref:NM_001258.1~uORF:IOH29645	96	49	47
B11R13C01	11-1-13	Hs~MGC:BC007565.1~uORF:IOH6820	1103	40	1063
B11R13C02	11-2-13	Hs~MGC:BC007565.1~uORF:IOH6820	1079	42	1037
B11R13C03	11-3-13	Hs~MGC:BC040902.1~uORF:IOH26326	107	44	63
B11R13C04	11-4-13	Hs~MGC:BC040902.1~uORF:IOH26326	287	47	240
B11R13C05	11-5-13	Hs~MGC:BC007346.2~uORF:IOH7023	1398	47	1351
B11R13C06	11-6-13	Hs~MGC:BC007346.2~uORF:IOH7023	1381	47	1334
B11R13C07	11-7-13	Hs~Ref:NM_018127.4~uORF:IOH3722	412	43	369
B11R13C08	11-8-13	Hs~Ref:NM_018127.4~uORF:IOH3722	376	45	331
B11R13C09	11-9-13	Hs~Ref:NM_019101.2~uORF:IOH12125	655	45	610
B11R13C10	11-10-13	Hs~Ref:NM_019101.2~uORF:IOH12125	653	43	610
B11R13C11	11-11-13	Hs~MGC:BC030229.1~uORF:IOH22611	235	47	188
B11R13C12	11-12-13	Hs~MGC:BC030229.1~uORF:IOH22611	263	129	134
B11R13C13	11-13-13	Hs~Ref:NM_020529.1~uORF:IOH4138	270	45	225
B11R13C14	11-14-13	Hs~Ref:NM_020529.1~uORF:IOH4138	285	46	239
B11R13C15	11-15-13	Hs~Ref:NM_030588.1~uORF:IOH1868	267	72	195
B11R13C16	11-16-13	Hs~Ref:NM_030588.1~uORF:IOH1868	296	71	225
B11R13C17	11-17-13	Hs~Ref:NM_002945.2~uORF:IOH11757	511	53	458
B11R13C18	11-18-13	Hs~Ref:NM_002945.2~uORF:IOH11757	444	48	396
B11R13C19	11-19-13	Hs~MGC:BC017844.1~uORF:IOH14384	378	48	330
B11R13C20	11-20-13	Hs~MGC:BC017844.1~uORF:IOH14384	300	47	253
B11R13C21	11-21-13	Hs~Ref:NM_001179.2~uORF:IOH14107	307	53	254
B11R13C22	11-22-13	Hs~Ref:NM_001179.2~uORF:IOH14107	426	51	375
B11R14C01	11-1-14	Hs~MGC:NM_153215.1~uORF:IOH11594	436	39	397
B11R14C02	11-2-14	Hs~MGC:NM_153215.1~uORF:IOH11594	415	42	373
B11R14C03	11-3-14	Hs~Ref:NM_138459.2~uORF:IOH12773	398	46	352
B11R14C04	11-4-14	Hs~Ref:NM_138459.2~uORF:IOH12773	424	46	378
B11R14C05	11-5-14	Hs~Ref:NM_032831.1~uORF:IOH40779	409	51	358
B11R14C06	11-6-14	Hs~Ref:NM_032831.1~uORF:IOH40779	420	53	367
B11R14C07	11-7-14	Hs~MGC:BC007840.2~uORF:IOH6710	334	80	254
B11R14C08	11-8-14	Hs~MGC:BC007840.2~uORF:IOH6710	346	64	282
B11R14C09	11-9-14	Hs~Ref:NM_014773.2~uORF:IOH6737	149	43	106
B11R14C10	11-10-14	Hs~Ref:NM_014773.2~uORF:IOH6737	324	42	282
B11R14C11	11-11-14	Hs~Ref:NM_019083.1~uORF:IOH42080	292	41	251
B11R14C12	11-12-14	Hs~Ref:NM_019083.1~uORF:IOH42080	301	44	257
B11R14C13	11-13-14	Hs~Ref:NM_178226.1~uORF:IOH42134	305	44	261
B11R14C14	11-14-14	Hs~Ref:NM_178226.1~uORF:IOH42134	338	43	295
B11R14C15	11-15-14	Hs~Ref:NM_016205.1~uORF:IOH42087	294	46	248
B11R14C16	11-16-14	Hs~Ref:NM_016205.1~uORF:IOH42087	253	43	210
B11R14C17	11-17-14	Hs~Ref:NM_032981.2~uORF:IOH42089	388	60	328
B11R14C18	11-18-14	Hs~Ref:NM_032981.2~uORF:IOH42089	234	47	187
B11R14C19	11-19-14	Hs~MGC:BC047450.1~uORF:IOH26520	357	51	306
B11R14C20	11-20-14	Hs~MGC:BC047450.1~uORF:IOH26520	267	53	214
B11R14C21	11-21-14	Hs~Ref:NM_007311.2~uORF:IOH36669	578	46	532
B11R14C22	11-22-14	Hs~Ref:NM_007311.2~uORF:IOH36669	562	43	519
B11R15C01	11-1-15	Hs~Ref:NM_001086.1~uORF:IOH2181	229	38	191
B11R15C02	11-2-15	Hs~Ref:NM_001086.1~uORF:IOH2181	77	44	33
B11R15C03	11-3-15	Hs~Ref:NM_174939.2~uORF:IOH21601	271	47	224
B11R15C04	11-4-15	Hs~Ref:NM_174939.2~uORF:IOH21601	323	44	279
B11R15C05	11-5-15	Hs~Ref:NM_001008756.1~uORF:IOH45529	408	46	362
B11R15C06	11-6-15	Hs~Ref:NM_001008756.1~uORF:IOH45529	331	44	287
B11R15C07	11-7-15	Hs~Ref:NM_001004285.1~uORF:IOH45460	369	47	322
B11R15C08	11-8-15	Hs~Ref:NM_001004285.1~uORF:IOH45460	341	50	291
B11R15C09	11-9-15	Hs~Ref:NM_130465.3~uORF:IOH45925	429	42	387
B11R15C10	11-10-15	Hs~Ref:NM_130465.3~uORF:IOH45925	372	41	331
B11R15C11	11-11-15	Hs~Ref:NM_006585.2~uORF:IOH45947	424	43	381
B11R15C12	11-12-15	Hs~Ref:NM_006585.2~uORF:IOH45947	436	43	393
B11R15C13	11-13-15	Hs~Ref:NM_002577.3~CAT:PV4565	215	43	172
B11R15C14	11-14-15	Hs~Ref:NM_002577.3~CAT:PV4565	208	43	165
B11R15C15	11-15-15	Hs~Ref:NM_004714.1~CAT:PV4649	1600	42	1558
B11R15C16	11-16-15	Hs~Ref:NM_004714.1~CAT:PV4649	1586	42	1544
B11R15C17	11-17-15	Hs~Ref:NM_032028.2~CAT:PV3505	516	44	472
B11R15C18	11-18-15	Hs~Ref:NM_032028.2~CAT:PV3505	428	43	385
B11R15C19	11-19-15	Hs~Ref:NM_004586.1~CAT:PV3323	145	43	102
B11R15C20	11-20-15	Hs~Ref:NM_004586.1~CAT:PV3323	113	43	70
B11R15C21	11-21-15	Hs~Ref:NM_002253.1~CAT:PV3660	239	184	55
B11R15C22	11-22-15	Hs~Ref:NM_002253.1~CAT:PV3660	263	184	79
B11R16C01	11-1-16	Hs~Ref:NM_004103.2~CAT:PV4567	608	37	571
B11R16C02	11-2-16	Hs~Ref:NM_004103.2~CAT:PV4567	551	38	513
B11R16C03	11-3-16	Hs~Ref:NM_002649.2~CAT:PV4786	373	45	328
B11R16C04	11-4-16	Hs~Ref:NM_002649.2~CAT:PV4786	400	50	350
B11R16C05	11-5-16	Hs~Ref:NM_003954.1~CAT:PV4902	718	41	677
B11R16C06	11-6-16	Hs~Ref:NM_003954.1~CAT:PV4902	618	40	578
B11R16C07	11-7-16	Hs~Ref:NM_016200.2~uORF:IOH5331	192	41	151
B11R16C08	11-8-16	Hs~Ref:NM_016200.2~uORF:IOH5331	140	43	97
B11R16C09	11-9-16	Hs~Ref:NM_019023.1~uORF:IOH2924	174	41	133
B11R16C10	11-10-16	Hs~Ref:NM_019023.1~uORF:IOH2924	197	40	157
B11R16C11	11-11-16	Hs~MGC:BC020523.1~uORF:IOH21466	48	47	1
B11R16C12	11-12-16	Hs~MGC:BC020523.1~uORF:IOH21466	46	40	6
B11R16C13	11-13-16	Hs~Ref:NM_021138.2~uORF:IOH21846	299	42	257
B11R16C14	11-14-16	Hs~Ref:NM_021138.2~uORF:IOH21846	307	45	262
B11R16C15	11-15-16	Hs~Ref:NM_145214.2~uORF:IOH40773	611	45	566
B11R16C16	11-16-16	Hs~Ref:NM_145214.2~uORF:IOH40773	704	46	658
B11R16C17	11-17-16	Hs~Ref:NM_005476.3~uORF:IOH36644	648	49	599
B11R16C18	11-18-16	Hs~Ref:NM_005476.3~uORF:IOH36644	666	49	617
B11R16C19	11-19-16	Hs~Ref:NM_198461.1~uORF:IOH37860	753	351	402
B11R16C20	11-20-16	Hs~Ref:NM_198461.1~uORF:IOH37860	692	44	648
B11R16C21	11-21-16	Hs~Ref:NM_152793.1~uORF:IOH50202	612	43	569
B11R16C22	11-22-16	Hs~Ref:NM_152793.1~uORF:IOH50202	560	41	519
B11R17C01	11-1-17	Hs~Ref:NM_007373.2~uORF:IOH26711	430	38	392
B11R17C02	11-2-17	Hs~Ref:NM_007373.2~uORF:IOH26711	381	42	339
B11R17C03	11-3-17	Hs~MGC:BC050603.1~uORF:IOH27069	565	44	521
B11R17C04	11-4-17	Hs~MGC:BC050603.1~uORF:IOH27069	595	44	551
B11R17C05	11-5-17	Hs~Ref:NM_002591.2~uORF:IOH12383	456	45	411
B11R17C06	11-6-17	Hs~Ref:NM_002591.2~uORF:IOH12383	358	44	314
B11R17C07	11-7-17	Hs~Ref:NM_001860.1~uORF:IOH12315	496	41	455
B11R17C08	11-8-17	Hs~Ref:NM_001860.1~uORF:IOH12315	444	40	404
B11R17C09	11-9-17	Hs~Ref:NM_012341.2~uORF:IOH26105	767	40	727
B11R17C10	11-10-17	Hs~Ref:NM_012341.2~uORF:IOH26105	764	41	723
B11R17C11	11-11-17	Hs~Ref:NM_173610.1~uORF:IOH35028	711	41	670
B11R17C12	11-12-17	Hs~Ref:NM_173610.1~uORF:IOH35028	736	42	694
B11R17C13	11-13-17	Hs~Ref:NM_003784.1~uORF:IOH35656	465	41	424
B11R17C14	11-14-17	Hs~Ref:NM_003784.1~uORF:IOH35656	544	42	502
B11R17C15	11-15-17	Hs~Ref:NM_000891.2~uORF:IOH35746	755	44	711
B11R17C16	11-16-17	Hs~Ref:NM_000891.2~uORF:IOH35746	742	45	697
B11R17C17	11-17-17	Hs~MGC:BC019902.1~uORF:IOH11985	473	51	422
B11R17C18	11-18-17	Hs~MGC:BC019902.1~uORF:IOH11985	395	124	271
B11R17C19	11-19-17	Hs~Ref:NM_032124.3~uORF:IOH27146	722	80	642
B11R17C20	11-20-17	Hs~Ref:NM_032124.3~uORF:IOH27146	719	45	674
B11R17C21	11-21-17	Hs~MGC:BC026274.1~uORF:IOH27920	537	41	496
B11R17C22	11-22-17	Hs~MGC:BC026274.1~uORF:IOH27920	577	39	538
B11R18C01	11-1-18	Hs~Ref:XM_290936.2~uORF:IOH27440	618	40	578
B11R18C02	11-2-18	Hs~Ref:XM_290936.2~uORF:IOH27440	51	47	4
B11R18C03	11-3-18	Hs~Ref:NM_147197.2~uORF:IOH40750	358	44	314
B11R18C04	11-4-18	Hs~Ref:NM_147197.2~uORF:IOH40750	363	45	318
B11R18C05	11-5-18	Hs~MGC:BC067219.1~uORF:IOH40730	547	48	499
B11R18C06	11-6-18	Hs~MGC:BC067219.1~uORF:IOH40730	468	45	423
B11R18C07	11-7-18	Hs~Ref:NM_015963.4~uORF:IOH40797	489	42	447
B11R18C08	11-8-18	Hs~Ref:NM_015963.4~uORF:IOH40797	468	41	427
B11R18C09	11-9-18	Hs~MGC:BC065717.1~uORF:IOH40735	234	41	193
B11R18C10	11-10-18	Hs~MGC:BC065717.1~uORF:IOH40735	283	42	241
B11R18C11	11-11-18	Hs~MGC:BC008406.1~uORF:IOH14434	412	45	367
B11R18C12	11-12-18	Hs~MGC:BC008406.1~uORF:IOH14434	381	47	334
B11R18C13	11-13-18	Hs~MGC:BC032330.1~uORF:IOH21654	439	42	397
B11R18C14	11-14-18	Hs~MGC:BC032330.1~uORF:IOH21654	444	41	403
B11R18C15	11-15-18	Hs~MGC:BC035281.1~uORF:IOH27313	315	44	271
B11R18C16	11-16-18	Hs~MGC:BC035281.1~uORF:IOH27313	356	63	293
B11R18C17	11-17-18	Hs~MGC:BC017716.1~uORF:IOH11983	289	47	242
B11R18C18	11-18-18	Hs~MGC:BC017716.1~uORF:IOH11983	269	45	224
B11R18C19	11-19-18	Hs~MGC:BC060780.1~uORF:IOH29159	381	47	334
B11R18C20	11-20-18	Hs~MGC:BC060780.1~uORF:IOH29159	488	44	444
B11R18C21	11-21-18	Hs~MGC:BC007412.1~uORF:IOH5835	370	42	328
B11R18C22	11-22-18	Hs~MGC:BC007412.1~uORF:IOH5835	370	41	329
B11R19C01	11-1-19	Hs~Ref:NM_004553.1~uORF:IOH26967	327	42	285
B11R19C02	11-2-19	Hs~Ref:NM_004553.1~uORF:IOH26967	315	46	269
B11R19C03	11-3-19	Hs~MGC:BC002707.1~uORF:IOH5356	320	43	277
B11R19C04	11-4-19	Hs~MGC:BC002707.1~uORF:IOH5356	431	50	381
B11R19C05	11-5-19	Hs~MGC:BC008392.1~uORF:IOH7460	191	43	148
B11R19C06	11-6-19	Hs~MGC:BC008392.1~uORF:IOH7460	224	46	178
B11R19C07	11-7-19	Hs~MGC:BC005895.1~uORF:IOH7427	230	43	187
B11R19C08	11-8-19	Hs~MGC:BC005895.1~uORF:IOH7427	222	55	167
B11R19C09	11-9-19	Hs~MGC:BC013902.1~uORF:IOH12236	160	45	115
B11R19C10	11-10-19	Hs~MGC:BC013902.1~uORF:IOH12236	186	43	143
B11R19C11	11-11-19	Hs~Ref:NM_138408.1~uORF:IOH13484	229	45	184
B11R19C12	11-12-19	Hs~Ref:NM_138408.1~uORF:IOH13484	240	42	198
B11R19C13	11-13-19	Hs~Ref:NM_001545.1~uORF:IOH11951	731	41	690
B11R19C14	11-14-19	Hs~Ref:NM_001545.1~uORF:IOH11951	856	42	814
B11R19C15	11-15-19	Hs~Ref:NM_017665.1~uORF:IOH7282	949	44	905
B11R19C16	11-16-19	Hs~Ref:NM_017665.1~uORF:IOH7282	959	47	912
B11R19C17	11-17-19	Hs~Ref:NM_016071.2~uORF:IOH11088	261	169	92
B11R19C18	11-18-19	Hs~Ref:NM_016071.2~uORF:IOH11088	202	46	156
B11R19C19	11-19-19	Hs~Ref:NM_001177.2~uORF:IOH7362	240	49	191
B11R19C20	11-20-19	Hs~Ref:NM_001177.2~uORF:IOH7362	337	47	290
B11R19C21	11-21-19	Hs~Ref:NM_005019.3~uORF:IOH11117	1237	44	1193
B11R19C22	11-22-19	Hs~Ref:NM_005019.3~uORF:IOH11117	1196	42	1154
B11R20C01	11-1-20	Hs~MGC:NM_175840.1~uORF:IOH4308	126	44	82
B11R20C02	11-2-20	Hs~MGC:NM_175840.1~uORF:IOH4308	185	43	142
B11R20C03	11-3-20	Hs~Ref:NM_016483.3~uORF:IOH22255	564	43	521
B11R20C04	11-4-20	Hs~Ref:NM_016483.3~uORF:IOH22255	601	42	559
B11R20C05	11-5-20	Hs~MGC:BC029785.1~uORF:IOH22702	420	42	378
B11R20C06	11-6-20	Hs~MGC:BC029785.1~uORF:IOH22702	373	43	330
B11R20C07	11-7-20	Hs~MGC:BC024272.1~uORF:IOH12488	419	43	376
B11R20C08	11-8-20	Hs~MGC:BC024272.1~uORF:IOH12488	444	44	400
B11R20C09	11-9-20	Hs~Ref:NM_015696.2~uORF:IOH21874	170	45	125
B11R20C10	11-10-20	Hs~Ref:NM_015696.2~uORF:IOH21874	240	43	197
B11R20C11	11-11-20	Hs~Ref:NM_203302.2~uORF:IOH45642	482	42	440
B11R20C12	11-12-20	Hs~Ref:NM_203302.2~uORF:IOH45642	597	43	554
B11R20C13	11-13-20	Hs~Ref:NM_145333.1~uORF:IOH37873	606	43	563
B11R20C14	11-14-20	Hs~Ref:NM_145333.1~uORF:IOH37873	644	43	601
B11R20C15	11-15-20	Hs~Ref:NM_023943.1~uORF:IOH4185	303	89	214
B11R20C16	11-16-20	Hs~Ref:NM_023943.1~uORF:IOH4185	349	52	297
B11R20C17	11-17-20	Hs~Ref:NM_031478.3~uORF:IOH6714	205	45	160
B11R20C18	11-18-20	Hs~Ref:NM_031478.3~uORF:IOH6714	149	45	104
B11R20C19	11-19-20	Hs~Ref:NM_198257.1~uORF:IOH50064	537	44	493
B11R20C20	11-20-20	Hs~Ref:NM_198257.1~uORF:IOH50064	505	41	464
B11R20C21	11-21-20	Hs~Ref:NM_001009614.1~uORF:IOH50116	801	40	761
B11R20C22	11-22-20	Hs~Ref:NM_001009614.1~uORF:IOH50116	850	39	811
B11R21C01	11-1-21	Hs~Ref:NM_152658.1~uORF:IOH43611	103	40	63
B11R21C02	11-2-21	Hs~Ref:NM_152658.1~uORF:IOH43611	194	70	124
B11R21C03	11-3-21	Hs~Ref:NM_144947.1~uORF:IOH43587	179	43	136
B11R21C04	11-4-21	Hs~Ref:NM_144947.1~uORF:IOH43587	189	40	149
B11R21C05	11-5-21	Hs~Ref:NM_178190.1~uORF:IOH41667	121	43	78
B11R21C06	11-6-21	Hs~Ref:NM_178190.1~uORF:IOH41667	200	50	150
B11R21C07	11-7-21	Hs~Ref:XM_380135.2~uORF:IOH42441	613	43	570
B11R21C08	11-8-21	Hs~Ref:XM_380135.2~uORF:IOH42441	571	42	529
B11R21C09	11-9-21	Hs~Ref:AAF19370.1~CAT_10301-H09E-25	41	41	0
B11R21C10	11-10-21	Hs~Ref:AAF19370.1~CAT_10301-H09E-25	37	39	-2
B11R21C11	11-11-21	Internal_1007209	40	38	2
B11R21C12	11-12-21	Internal_1007209	41	40	1
B11R21C13	11-13-21	Hs~Ref:NP_003801.1~CAT_10409-HNAE-25	42	39	3
B11R21C14	11-14-21	Hs~Ref:NP_003801.1~CAT_10409-HNAE-25	44	38	6
B11R21C15	11-15-21	Internal_1007209	53	39	14
B11R21C16	11-16-21	Internal_1007209	69	50	19
B11R21C17	11-17-21	Hs~Ref:NP_005371.1~CAT_10169-H08H-25	44	39	5
B11R21C18	11-18-21	Hs~Ref:NP_005371.1~CAT_10169-H08H-25	40	39	1
B11R21C19	11-19-21	Internal_1007209	40	38	2
B11R21C20	11-20-21	Internal_1007209	39	37	2
B11R21C21	11-21-21	Internal_1007209	46	37	9
B11R21C22	11-22-21	Internal_1007209	44	38	6
B11R22C01	11-1-22	ERa~N/A	1672	38	1634
B11R22C02	11-2-22	ERa~N/A	2098	38	2060
B11R22C03	11-3-22	PKCeta~N/A	265	42	223
B11R22C04	11-4-22	PKCeta~N/A	304	45	259
B11R22C05	11-5-22	Calmodulin~N/A	69	44	25
B11R22C06	11-6-22	Calmodulin~N/A	60	44	16
B11R22C07	11-7-22	V5control5~N/A	381	41	340
B11R22C08	11-8-22	V5control5~N/A	371	42	329
B11R22C09	11-9-22	V5control4~N/A	147	40	107
B11R22C10	11-10-22	V5control4~N/A	117	42	75
B11R22C11	11-11-22	V5control3~N/A	37	45	-8
B11R22C12	11-12-22	V5control3~N/A	89	72	17
B11R22C13	11-13-22	V5control2~N/A	60	40	20
B11R22C14	11-14-22	V5control2~N/A	68	43	25
B11R22C15	11-15-22	V5control1~N/A	57	39	18
B11R22C16	11-16-22	V5control1~N/A	57	39	18
B11R22C17	11-17-22	CMK2A~N/A	519	41	478
B11R22C18	11-18-22	CMK2A~N/A	613	41	572
B11R22C19	11-19-22	ERa~N/A	1948	38	1910
B11R22C20	11-20-22	ERa~N/A	1885	38	1847
B11R22C21	11-21-22	AlexaAntiMouseAb~N/A	9321	39	9282
B11R22C22	11-22-22	AlexaAntiMouseAb~N/A	10225	39	10186
B12R01C01	12-1-1	AlexaAntiMouseAb~N/A	39962	40	39922
B12R01C02	12-2-1	AlexaAntiMouseAb~N/A	37514	42	37472
B12R01C03	12-3-1	ERa~N/A	2700	43	2657
B12R01C04	12-4-1	ERa~N/A	2181	42	2139
B12R01C05	12-5-1	HumanIgG1~N/A	689	42	647
B12R01C06	12-6-1	HumanIgG1~N/A	749	43	706
B12R01C07	12-7-1	HumanIgG2~N/A	2697	42	2655
B12R01C08	12-8-1	HumanIgG2~N/A	2762	42	2720
B12R01C09	12-9-1	HumanIgG3~N/A	12620	44	12576
B12R01C10	12-10-1	HumanIgG3~N/A	13346	43	13303
B12R01C11	12-11-1	HumanIgG4~N/A	48220	45	48175
B12R01C12	12-12-1	HumanIgG4~N/A	52639	44	52595
B12R01C13	12-13-1	BiotinAb~N/A	84	46	38
B12R01C14	12-14-1	BiotinAb~N/A	72	45	27
B12R01C15	12-15-1	RanBP2deltaFG~N/A	249	40	209
B12R01C16	12-16-1	RanBP2deltaFG~N/A	294	41	253
B12R01C17	12-17-1	hMDM2~N/A	877	51	826
B12R01C18	12-18-1	hMDM2~N/A	345	228	117
B12R01C19	12-19-1	PKCeta~N/A	162	49	113
B12R01C20	12-20-1	PKCeta~N/A	243	42	201
B12R01C21	12-21-1	AlexaAntiMouseAb~N/A	31249	44	31205
B12R01C22	12-22-1	AlexaAntiMouseAb~N/A	30432	44	30388
B12R02C01	12-1-2	PKCeta~N/A	1125	41	1084
B12R02C02	12-2-2	PKCeta~N/A	1301	45	1256
B12R02C03	12-3-2	Buffer	239	103	136
B12R02C04	12-4-2	Buffer	200	96	104
B12R02C05	12-5-2	HumanIgA~N/A	7054	48	7006
B12R02C06	12-6-2	HumanIgA~N/A	19310	44	19266
B12R02C07	12-7-2	Buffer	50	44	6
B12R02C08	12-8-2	Buffer	64	43	21
B12R02C09	12-9-2	BSA~N/A	9542	45	9497
B12R02C10	12-10-2	BSA~N/A	10520	45	10475
B12R02C11	12-11-2	Hs~MGC:BC016905.1~uORF:IOH10994	579	52	527
B12R02C12	12-12-2	Hs~MGC:BC016905.1~uORF:IOH10994	565	47	518
B12R02C13	12-13-2	Hs~MGC:BC020569.1~uORF:IOH10736	485	72	413
B12R02C14	12-14-2	Hs~MGC:BC020569.1~uORF:IOH10736	63	45	18
B12R02C15	12-15-2	Hs~Ref:NM_019062.1~uORF:IOH23145	3492	40	3452
B12R02C16	12-16-2	Hs~Ref:NM_019062.1~uORF:IOH23145	3568	41	3527
B12R02C17	12-17-2	Hs~MGC:BC020233.1~uORF:IOH14752	35328	61	35267
B12R02C18	12-18-2	Hs~MGC:BC020233.1~uORF:IOH14752	36447	237	36210
B12R02C19	12-19-2	Hs~MGC:BC045641.1~uORF:IOH25886	392	51	341
B12R02C20	12-20-2	Hs~MGC:BC045641.1~uORF:IOH25886	505	44	461
B12R02C21	12-21-2	Hs~Ref:NM_024039.1~uORF:IOH4379	252	53	199
B12R02C22	12-22-2	Hs~Ref:NM_024039.1~uORF:IOH4379	239	58	181
B12R03C01	12-1-3	Hs~Ref:NM_015400.1~uORF:IOH3643	459	44	415
B12R03C02	12-2-3	Hs~Ref:NM_015400.1~uORF:IOH3643	510	63	447
B12R03C03	12-3-3	Hs~MGC:BC000507.1~uORF:IOH3546	443	59	384
B12R03C04	12-4-3	Hs~MGC:BC000507.1~uORF:IOH3546	524	396	128
B12R03C05	12-5-3	Hs~Ref:NM_018226.3~uORF:IOH44724	199	49	150
B12R03C06	12-6-3	Hs~Ref:NM_018226.3~uORF:IOH44724	276	56	220
B12R03C07	12-7-3	Hs~Ref:NM_001001935.1~uORF:IOH45901	269	43	226
B12R03C08	12-8-3	Hs~Ref:NM_001001935.1~uORF:IOH45901	226	46	180
B12R03C09	12-9-3	Hs~Ref:NM_007045.2~uORF:IOH44725	185	48	137
B12R03C10	12-10-3	Hs~Ref:NM_007045.2~uORF:IOH44725	246	47	199
B12R03C11	12-11-3	Hs~Ref:NM_198086.1~uORF:IOH45877	401	63	338
B12R03C12	12-12-3	Hs~Ref:NM_198086.1~uORF:IOH45877	285	51	234
B12R03C13	12-13-3	Hs~Ref:XM_374292.2~uORF:IOH44754	225	44	181
B12R03C14	12-14-3	Hs~Ref:XM_374292.2~uORF:IOH44754	217	42	175
B12R03C15	12-15-3	Hs~Ref:NM_172211.1~uORF:IOH43696	139	41	98
B12R03C16	12-16-3	Hs~Ref:NM_172211.1~uORF:IOH43696	133	42	91
B12R03C17	12-17-3	Hs~Ref:NM_198325.1~uORF:IOH43467	767	56	711
B12R03C18	12-18-3	Hs~Ref:NM_198325.1~uORF:IOH43467	764	66	698
B12R03C19	12-19-3	Hs~Ref:NM_014276.2~uORF:IOH43732	80	47	33
B12R03C20	12-20-3	Hs~Ref:NM_014276.2~uORF:IOH43732	130	41	89
B12R03C21	12-21-3	Hs~Ref:NM_006241.2~uORF:IOH5954	198	46	152
B12R03C22	12-22-3	Hs~Ref:NM_006241.2~uORF:IOH5954	192	52	140
B12R04C01	12-1-4	Hs~MGC:BC011842.2~uORF:IOH14099	873	42	831
B12R04C02	12-2-4	Hs~MGC:BC011842.2~uORF:IOH14099	992	49	943
B12R04C03	12-3-4	Hs~MGC:BC021241.2~uORF:IOH14238	381	50	331
B12R04C04	12-4-4	Hs~MGC:BC021241.2~uORF:IOH14238	395	65	330
B12R04C05	12-5-4	Hs~MGC:BC000903.2~uORF:IOH2920	703	49	654
B12R04C06	12-6-4	Hs~MGC:BC000903.2~uORF:IOH2920	605	46	559
B12R04C07	12-7-4	Hs~MGC:BC014891.1~uORF:IOH10029	251	47	204
B12R04C08	12-8-4	Hs~MGC:BC014891.1~uORF:IOH10029	300	54	246
B12R04C09	12-9-4	Hs~Ref:NM_004772.1~uORF:IOH14022	416	59	357
B12R04C10	12-10-4	Hs~Ref:NM_004772.1~uORF:IOH14022	362	74	288
B12R04C11	12-11-4	Hs~MGC:BC021275.1~uORF:IOH13914	252	69	183
B12R04C12	12-12-4	Hs~MGC:BC021275.1~uORF:IOH13914	171	71	100
B12R04C13	12-13-4	Hs~MGC:BC021560.1~uORF:IOH14110	66	68	-2
B12R04C14	12-14-4	Hs~MGC:BC021560.1~uORF:IOH14110	426	47	379
B12R04C15	12-15-4	Hs~MGC:BC020600.1~uORF:IOH12780	262	52	210
B12R04C16	12-16-4	Hs~MGC:BC020600.1~uORF:IOH12780	377	52	325
B12R04C17	12-17-4	Hs~MGC:BC033708.1~uORF:IOH21753	6173	78	6095
B12R04C18	12-18-4	Hs~MGC:BC033708.1~uORF:IOH21753	5703	89	5614
B12R04C19	12-19-4	Hs~Ref:NM_001517.1~uORF:IOH5457	89	61	28
B12R04C20	12-20-4	Hs~Ref:NM_001517.1~uORF:IOH5457	118	62	56
B12R04C21	12-21-4	Hs~Ref:NM_002431.1~uORF:IOH3100	1433	86	1347
B12R04C22	12-22-4	Hs~Ref:NM_002431.1~uORF:IOH3100	172	55	117
B12R05C01	12-1-5	Hs~Ref:NM_001010844.1~uORF:IOH43230	1390	41	1349
B12R05C02	12-2-5	Hs~Ref:NM_001010844.1~uORF:IOH43230	1428	44	1384
